
CCTV,#genre#
CCTV12,http://223.110.251.152:6610/cntv/live1/HD-8000k-1080P-cctv12/HD-8000k-1080P-cctv12
CCTV13,http://223.110.251.152:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ/
CCTV14,http://223.110.251.152:6610/cntv/live1/HD-8000k-1080P-cctv14/HD-8000k-1080P-cctv14
CCTV15,rtsp://183.252.166.199/PLTV/88888888/224/3221225998/10000100000000060000000002296745_0.smil
CCTV15,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225502/index.m3u8
CCTV5+,http://223.110.251.152:6610/gitv/live1/G_CCTV-5PLUS-CQ/G_CCTV-5PLUS-CQ/
CCTV17,http://223.110.251.152:6610/cntv/live1/HD-8000k-1080P-cctv17/HD-8000k-1080P-cctv17

CCTV11,http://39.135.34.150:8080/000000001000/1000000002000019789/1.m3u8?I
CCTV13,http://39.135.34.150:8080/000000001000/1000000002000021303/1.m3u8?I
CCTV15,http://39.135.34.150:8080/000000001000/1000000002000008163/1.m3u8?I

CGTN,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226404/1.m3u8
CGTN,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225867/1.m3u8
CGTN,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226443/1.m3u8
CGTND,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226403/1.m3u8
CGTND,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225866/1.m3u8
CGTN,http://39.130.215.222:6410/gitv_live/G_CCTV-NEWS/G_CCTV-NEWS.m3u8
CGTND,http://39.130.215.222:6410/gitv_live/G_CGTVJL/G_CGTVJL.m3u8
CGTND,http://39.130.215.222:6410/gitv_live/G_CGTVJL-HD/G_CGTVJL-HD.m3u8
CGTN,http://live.cgtn.com/1000/prog_index.m3u8
CGTND,http://livedoc.cgtn.com/1000d/prog_index.m3u8

CCTV4K,http://117.71.37.17/live.aishang.ctlcdn.com/00000110240505_1/playlist.m3u8?CONTENTID=00000110240505_1
CCTV4K,http://39.134.176.249/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/index.m3u8?fmt=ts2hls
CCTV4K,http://111.161.121.211/livews-4k.5club.CCTV.cn/live/4K0205.stream/playlist.m3u8
CCTV4K,http://210.22.242.108/outlivecloud-cdn.ysp.cctv.cn/cctv/2000266303.m3u8



WSTV,#genre#
北京卫视,http://223.110.251.152:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/
东方卫视,http://223.110.251.152:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/
广东卫视,http://223.110.251.152:6610/gitv/live1/G_GUANGDONG-CQ/G_GUANGDONG-CQ/
深圳卫视,http://223.110.251.152:6610/gitv/live1/G_SHENZHEN-CQ/G_SHENZHEN-CG/
江苏卫视,http://223.110.251.152:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/
浙江卫视,http://223.110.251.152:6610/gitv/live1/G_ZHEJIANG-CQ/G_ZHEJIANG-CQ/
湖南卫视,http://223.110.251.152:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ/
山东卫视,http://223.110.251.152:6610/gitv/live1/G_SHANDONG-CQ/G_SHANDONG-CQ/
辽宁卫视,http://223.110.251.152:6610/gitv/live1/G_LIAONING-CQ/G_LIAONING-CQ
安徽卫视,http://223.110.251.152:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ/
黑龙江卫视,http://223.110.251.152:6610/gitv/live1/G_HEILONGJIANG-CQ/G_HEILONGJIANG-CQ/
天津卫视,http://223.110.251.152:6610/gitv/live1/G_TIANJIN-CQ/G_TIANJIN-CQ/
湖北卫视,http://223.110.251.152:6610/gitv/live1/G_HUBEI-CQ/G_HUBEI-CQ/
重庆卫视,http://223.110.251.152:6610/cntv/live1/HD-8000k-1080P-chongqingstv/HD-8000k-1080P-chongqingstv
江西卫视,http://223.110.251.152:6610/cntv/live1/HD-2500k-1080P-jiangxistv/HD-2500k-1080P-jiangxistv

东南卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil
东方卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226041/10000100000000060000000002296882_0.smil
北京卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226092/10000100000000060000000002296930_0.smil
吉林卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226792/48616745.smil
山东卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226090/10000100000000060000000002296928_0.smil
广东卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226089/10000100000000060000000002296927_0.smil
江苏卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226038/10000100000000060000000002296879_0.smil
河南卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226076/10000100000000060000000002296917_0.smil
浙江卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226040/10000100000000060000000002296881_0.smil
海南卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226048/10000100000000060000000002296889_0.smil
海峡卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
湖北卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226091/10000100000000060000000002296929_0.smil
湖南卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226082/10000100000000060000000002296924_0.smil
贵州卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226126/10000100000000060000000002434541_0.smil
黑龙江卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226087/10000100000000060000000002296926_0.smil

北京卫视,http://223.110.251.152:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/
湖南卫视,http://223.110.251.152:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ/
江苏卫视,http://223.110.251.152:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/
浙江卫视,http://223.110.251.152:6610/gitv/live1/G_ZHEJIANG-CQ/G_ZHEJIANG-CQ/
东方卫视,http://223.110.251.152:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/
广东卫视,http://223.110.251.152:6610/gitv/live1/G_GUANGDONG-CQ/G_GUANGDONG-CQ/
深圳卫视,http://223.110.251.152:6610/gitv/live1/G_SHENZHEN-CQ/G_SHENZHEN-CG/
山东卫视,http://223.110.251.152:6610/gitv/live1/G_SHANDONG-CQ/G_SHANDONG-CQ/
辽宁卫视,http://223.110.251.152:6610/gitv/live1/G_LIAONING-CQ/G_LIAONING-CQ
安徽卫视,http://223.110.251.152:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ/
黑龙江卫视,http://223.110.251.152:6610/gitv/live1/G_HEILONGJIANG-CQ/G_HEILONGJIANG-CQ/
天津卫视,http://223.110.251.152:6610/gitv/live1/G_TIANJIN-CQ/G_TIANJIN-CQ/
湖北卫视,http://223.110.251.152:6610/gitv/live1/G_HUBEI-CQ/G_HUBEI-CQ/
重庆卫视,http://223.110.251.152:6610/gitv/live1/G_CHONGQING/G_CHONGQING/
广西卫视,http://223.110.251.152:6610/gitv/live1/GXWS/GXWS/
